county_fips,event_id,incidentBeginDate,incidentEndDate,incidentType,declaration_numbers,declaration_count,source_record_count,event_key_method,year
01001,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01101,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01103,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01103,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01105,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01105,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01107,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01107,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01109,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01109,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01109,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01111,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01111,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01113,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01113,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01115,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01115,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01117,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01117,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01119,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01119,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01121,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01121,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01123,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01123,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01125,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01125,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01127,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01127,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01129,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01129,incident:2017100401,2017-10-06 00:00:00+00:00,2017-10-10 00:00:00+00:00,Hurricane,3394; 4349,2,2,official_incident_id,2017
01129,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01131,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01131,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01133,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01133,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
02000,incident:2018113001,2018-11-30 00:00:00+00:00,2018-11-30 00:00:00+00:00,Earthquake,3410; 4413,2,6,official_incident_id,2018
02000,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3446; 4533,2,121,official_incident_id,2020
02000,incident:2025101101,2025-10-08 00:00:00+00:00,2025-10-13 00:00:00+00:00,Flood,4893; 4912,2,11,official_incident_id,2025
04001,incident:2010012101,2010-01-18 00:00:00+00:00,2010-01-29 00:00:00+00:00,Severe Storm,1888; 3307,2,4,official_incident_id,2010
04001,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 3460; 3478; 4524; 4525; 4529; 4582,7,9,official_incident_id,2020
04003,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,2,official_incident_id,2020
04005,incident:2010012101,2010-01-18 00:00:00+00:00,2010-01-29 00:00:00+00:00,Severe Storm,1888; 3307,2,6,official_incident_id,2010
04005,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 3460; 3478; 4524; 4525; 4529; 4582,7,17,official_incident_id,2020
04007,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,6,official_incident_id,2020
04007,incident:2024071201,2024-07-10 00:00:00+00:00,2024-07-17 00:00:00+00:00,Fire,4833; 5508,2,2,official_incident_id,2024
04009,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,4,official_incident_id,2020
04009,incident:2024071201,2024-07-10 00:00:00+00:00,2024-07-17 00:00:00+00:00,Fire,4833; 5508,2,2,official_incident_id,2024
04011,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,2,official_incident_id,2020
04012,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,4,official_incident_id,2020
04013,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,4,official_incident_id,2020
04015,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 3443; 4523; 4524,4,10,official_incident_id,2020
04017,incident:2010012101,2010-01-18 00:00:00+00:00,2010-01-29 00:00:00+00:00,Severe Storm,1888; 3307,2,6,official_incident_id,2010
04017,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 3460; 3478; 4524; 4525; 4529; 4582,7,11,official_incident_id,2020
04019,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,2,official_incident_id,2020
04021,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,8,official_incident_id,2020
04021,incident:2024071201,2024-07-10 00:00:00+00:00,2024-07-17 00:00:00+00:00,Fire,4833; 5508,2,2,official_incident_id,2024
04023,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,2,official_incident_id,2020
04025,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,8,official_incident_id,2020
04027,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3442; 4524,2,4,official_incident_id,2020
05001,incident:2019052601,2019-05-21 00:00:00+00:00,2019-06-14 00:00:00+00:00,Flood,3414; 4441,2,2,official_incident_id,2019
05001,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3461; 4518,2,2,official_incident_id,2020
05003,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3461; 4518,2,2,official_incident_id,2020
05005,incident:2009012601,2009-01-26 00:00:00+00:00,2009-01-30 00:00:00+00:00,Severe Ice Storm; Severe Storm,1819; 3301,2,2,official_incident_id,2009
05005,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3461; 4518,2,2,official_incident_id,2020
05007,incident:2009012601,2009-01-26 00:00:00+00:00,2009-01-30 00:00:00+00:00,Severe Ice Storm; Severe Storm,1819; 3301,2,2,official_incident_id,2009
05007,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3461; 4518,2,2,official_incident_id,2020
